lat,lon
37.7,-122.52
37.7,-122.519432
37.7,-122.518864
37.7,-122.518296
37.7,-122.517727
37.7,-122.517159
37.7,-122.516591
37.7,-122.516023
37.7,-122.515455
37.7,-122.514887
37.7,-122.514319
37.7,-122.513751
37.7,-122.513182
37.7,-122.512614
37.7,-122.512046
37.7,-122.511478
37.7,-122.51091
37.7,-122.510342
37.7,-122.509774
37.7,-122.509205
37.7,-122.508637
37.7,-122.508069
37.7,-122.507501
37.7,-122.506933
37.7,-122.506365
37.7,-122.505797
37.7,-122.505229
37.7,-122.50466
37.7,-122.504092
37.7,-122.503524
37.7,-122.502956
37.7,-122.502388
37.7,-122.50182
37.7,-122.501252
37.7,-122.500684
37.7,-122.500115
37.7,-122.499547
37.7,-122.498979
37.7,-122.498411
37.7,-122.497843
37.7,-122.497275
37.7,-122.496707
37.7,-122.496138
37.7,-122.49557
37.7,-122.495002
37.7,-122.494434
37.7,-122.493866
37.7,-122.493298
37.7,-122.49273
37.7,-122.492162
37.7,-122.491593
37.7,-122.491025
37.7,-122.490457
37.7,-122.489889
37.7,-122.489321
37.7,-122.488753
37.7,-122.488185
37.7,-122.487616
37.7,-122.487048
37.7,-122.48648
37.7,-122.485912
37.7,-122.485344
37.7,-122.484776
37.7,-122.484208
37.7,-122.48364
37.7,-122.483071
37.7,-122.482503
37.7,-122.481935
37.7,-122.481367
37.7,-122.480799
37.7,-122.480231
37.7,-122.479663
37.7,-122.479094
37.7,-122.478526
37.7,-122.477958
37.7,-122.47739
37.7,-122.476822
37.7,-122.476254
37.7,-122.475686
37.7,-122.475118
37.7,-122.474549
37.7,-122.473981
37.7,-122.473413
37.7,-122.472845
37.7,-122.472277
37.7,-122.471709
37.7,-122.471141
37.7,-122.470572
37.7,-122.470004
37.7,-122.469436
37.7,-122.468868
37.7,-122.4683
37.7,-122.467732
37.7,-122.467164
37.7,-122.466596
37.7,-122.466027
37.7,-122.465459
37.7,-122.464891
37.7,-122.464323
37.7,-122.463755
37.7,-122.463187
37.7,-122.462619
37.7,-122.462051
37.7,-122.461482
37.7,-122.460914
37.7,-122.460346
37.7,-122.459778
37.7,-122.45921
37.7,-122.458642
37.7,-122.458074
37.7,-122.457505
37.7,-122.456937
37.7,-122.456369
37.7,-122.455801
37.7,-122.455233
37.7,-122.454665
37.7,-122.454097
37.7,-122.453529
37.7,-122.45296
37.7,-122.452392
37.7,-122.451824
37.7,-122.451256
37.7,-122.450688
37.7,-122.45012
37.7,-122.449552
37.7,-122.448983
37.7,-122.448415
37.7,-122.447847
37.7,-122.447279
37.7,-122.446711
37.7,-122.446143
37.7,-122.445575
37.7,-122.445007
37.7,-122.444438
37.7,-122.44387
37.7,-122.443302
37.7,-122.442734
37.7,-122.442166
37.7,-122.441598
37.7,-122.44103
37.7,-122.440461
37.7,-122.439893
37.7,-122.439325
37.7,-122.438757
37.7,-122.438189
37.7,-122.437621
37.7,-122.437053
37.7,-122.436485
